,Transliteration,Translation
0,wrH,Anoint.
1,Di pr.t-xrw,Give the going-forth-of-the voice.
2,wAH r tA m-bAH=f,Set down before him.
3,Di Sb,Give a meal.
4,hA T(w) (i)r(i),Descend thus.
5,wdn x.t n T.,Consecrating offerings for Teti.
6,t dwA m-Dr=f,Morning bread beside him.
7,sD dSr(.t)i,Breaking of two red pots.
8,/// iT [r] a=f r tp=f wrH=f im[=s],"/// Take [to] his arm and to his head, that he may be anointed with [ it]."
9,d HA,Put around.
10,st.t tkA,Lighting a lamp.
11,wAH,Set down.
12,dwA=f nTr,With him adoring the god.
13,dwA.n M. Hr iAb.ti,Merire has adored eastern Horus.
14,hAy Ne. m ns.t=f,Let Neferkare go on board to his throne (sc. in his bark).
15,DbA=f ns.t=f,Him adorning his throne (sc. in his bark).
16,DbA ns.t=k m wiA ra,Adorn your throne in the bark of Re!
17,nTr nb DbA.t(i)=f(i) ns.t=f m wiA=f,As for any god who will (cause that he) adorn his throne in his bark.
18, Szp=i ns.t=i imit dp.t-nTr ,Let me receive my throne which is in the god’s boat.
19,wnx m ir(.t) Hr imit tAi.t,Be clothed in the eye of Horus which is Tait!
20,m( y) wnx=k n=k ir(.t) Hr (w)DA.t imit tAi.t,Come and don the whole eye of Horus which is Tait!
21,DbA.n(=i) kw m ir.t Hr rnn-wt.(i)t itn nr.t.n n=s nTr.w,"I have adorned you with the eye of Horus, this garment of which the gods are terrified."
22,m( y) wnx n=k ir.t Hr xr=k imit tAi.t,"Come and don the eye of Horus for yourself, that which is in Tait!"
23,DbA.n=i Tw m ir.t-Hr imit tAi.t DbA.t.n=f it=f im=s DbA.t.n=f wsir im=s,"I have adorned you with the eye of Horus which is Tait, with which he adorned his father, with which he adorned Osiris."
24,xnt W. pn xnt.t spr kA=f r=f,"Let Unas be truly advanced, his Ka reaching him."
25,xnti=f r=f ir-xnt itr.ti,Let him advance to the front of the two chapel rows.
26,xnti P. pn ir-xnt itr.ti,Let Pepi advance to the front of the two chapel rows.
27,xnt M. pn Xr=s,With Merire advancing bearing it.
28,xnt,Advance!
29,Ax=k ir Ax.w nb.w,And be more an Akh than all the Akhs.
30,i.Ax=k xnti Ax.w,And be an Akh before the Akhs.
31,Ax.t(i) xnti Ax.w,Be an Akh before the Akhs!
32,Ax=f xnt(i) Ax.w,That he be an Akh before the Akhs.
33,rDi n=Tn Ax=f m-m Ax.w,Place his Akh among the Akhs!
34,i.Ax=k Ne. pw xnt(i) Ax.w,"May you be an Akh, O Neferkare, before the Akhs."
35, i.Ax=k im [i ]r Ax.w m wD.t Hr Ds=f nb pa.t ,"Being an Akh thereby more than the Akhs, by the command of Horus himself, lord of princes."
36,wnn P. Ax ir Ax.w,That Pepi is more an Akh than the Akhs.
37, Szp=f Ax=f m-xnt nTr.w Hr is zA wsir ,"And he will receive his Akh before the gods, as Horus the son of Osiris."
38,Dy n=f Ax=f im,His Akh being given to him thereby.
39,Di.n=f n=k Ax.w=f zAb.(i)w Hr is imi pr=f xnti is xnt(i) sxm.w,"He having given you his jackal Akhs, ( you being) as Horus who is in his house, as the foremost one, foremost of powers."
40,rDi.n n=k wsir Ax.w,Osiris has given you Akh-ness.
41,m Ax=k pw wD.n nTr.w wnn(=f ) n=k,As this your Akh which the gods commanded be yours.
42,rDi n=k Ax.w=k,Let there be given to you your Akhs.
43,xnn=f m xprr,He alights as Kheprer.
44,xn.n Ne. m bik,Neferkare has alighted as a falcon.
45,i.pA Ne. xny Ne. Hr Sw.ti it=f gbb,And then Neferkare will fly up and Neferkare
46,i.pA=f xny=f m gs iAb.ti n(i) p.t n nTr.w,That he may fly up and alight in the eastern side of the sky for the gods.
47,xnn=k xn.t nTr sms,You alight the alighting of the eldest god.
48,aq=sn(i) i.H(w)=sn(i) sDb,Let them go in making announcement.
49, Hw n=k mni.t wr.t sDb wsir is m s.t a.wi=f(i) ,And the great mooring post announce as ‘Osiris in his own place.’
50, i.H(w)=f n=k sDb ir i.Dd.t=k ,That he may announce you according to what you said.
51, Hw n=k DHw.ti sDb m ir.t=f n=k ,Thoth announcing report as what he would do for you.
52,siw=sn W. pn n nHb-kA.w,With them announcing Unas to Nehebkau.
53, wTz=sn rn n(i) P. nfr (n) nHb-kA.w ,Let them raise the good name of Pepi to Nehebkau.
54, Dd=Tn sw rn nfr n(i) P. pn n nHb-kA.w ,"And say it, the good name of Pepi, to Nehebkau!"
55, wTz=sn i=k pn nfr n nHb-kA.w ,Let them raise up this good speech of yours to Nehebkau.
56,wTz rn n(i) P. pn n nHb-kA.w,Raise up the name of Pepi to Nehbekau!
57, Hww=sn n Dsr-rmn Hr iAb.t(i)t ,And announce to upraised of arm upon the east.
58, siw=sn sw n Dsr<-rmn> m iAb ,And announce him to the one upraised <of arm> in the east.
59, siw=sn Tw n ra m Dsr-rmn iAb ,"That they may announce you to Re, upraised of arm of the east."
60,Dd=sn n ra,And they speak to Re.
61,Dd=Tn xr ra Dsr-rmn m iAb,"And speak to Re, upraised of arm in the east."
62,i.Dd=sn n ra,And they speak to Re.
63,i.Dd=sn n ra,And they speak to Re.
64,Dd n=k n ra,Speak to Re!
65,siw T. n ra,Announce Teti to Re!
66,wrH M.n m wrH.t Tn im,Let Merenre be anointed from that by which you are anointed.
67, wrH P. pn m wrH.t Tn im ,Let Pepi be anointed with that by which you are
68,m sAx=k pn wD.n inp,Through this your Sakhu which Anubis commanded.
69,wD.n inp xnti zH-nTr hAy=k m sbA m nTr dwA,"Anubis, foremost of the god’s booth, has commanded that you descend as a star, as the morning god."
70,wD inp xnt(i) zH-nTr,"The command of Anubis, foremost of the god’s shrine."
71, wD.n inp xnt(i) zH-nTr ,"For Anubis, foremost of the chapel of the god, has commanded."
72, aHa.n P. Hr mH.t p.t Hna=f ,Pepi has stood up upon the north of the sky with him.
73,aHa.i=f r={i}<f > m s.t=f Sw.t nt(i)t imiwti nTr.wi aA.w(i),Let {me} <him> arise thus into his empty place which is between the two great gods.
74,aHa r=f ir war.t wr.t,Standing thus at the great plateau.
75,Tz Tw r t=k pn i.xm xsD.w Hnq.t=k i.xm.t amA,"Raise yourself, to this your bread, which cannot grow stale, your beer, which cannot grow stale!"
76,Tz Tw Nt. pw ir xA=k m tA xA=k m Hnq.t xA=k m kA xA=k m Apd {xA=k m} xA=k m mnx(.t) xA=k m Ss pr {n} n=k m pr,"Raise yourself, O Neith, to your thousand of bread, beer, beef, fowl, linen, and alabaster, which went forth from the house!"
77, Tz Tw ir t=k pn i.xm xsD ,Raise yourself to this your bread which cannot grow stale!
78, aHa=k Hr=f tA pn [ pr m tm nSS] pr m xprr ,"May you stand upon it, this land [which went forth as Atum, the spittle] which went forth as Khepri."
79,aHa,Arise!
80,aHa.t(i) W. pn m ab.wi tp=f smA.wi,"Arise, O Unas,1181 as one upon whom are horns, the double wild bull!"
81,aHa imi ndi.t,"Arise, O one who is in Nedit!"
82,aHa Tz Tw mr wsir,Arise! Raise yourself like Osiris!
83,aHa r=k,Arise!
84,aHa,Arise!
85,aHa Tz Tw,Arise! Raise yourself !
86,aHa,Arise!
87,aHa=k r aA.w xsf rx.wt,And stand at the doors which keep out the people.
88,aHa T. m-xnt itr.ti,"Arise, O Teti, before the two chapel rows!"
89,aHa i.dr tA=k wxA xm.w=k Tz Tw,Arise! Throw off your earth! Cast off your dust! Raise yourself !
90, aHa=k P. pn nD.ti Htm.ti m nTr ,"May you arise, O Pepi, saved, provided as a god."
91,aHa=k m inp Hr(i) mniw,And arise as Anubis master of the herdsman’s tent.
92,i.rs Tz Tw aHa,Awaken! Raise yourself ! Arise!
93,aHa,Arise!
94,aHa ir=k,Arise!
95,aHa r=k Hr rd.wi=k(i),Arise upon your feet!
96,aHa Tz Tw,Arise! Raise yourself !
97,Tz Tw aHa,Raise yourself ! Arise!
98,aHa mA=k nn,Arise and see this!
99,aHa r=k,Arise!
100,aHa r=k,Arise!
101,aHa=k r=k,May you arise.
102,aHa,Arise!
103,aHa Tz Tw,Arise! Raise yourself !
104,aHa=k r=k ir rd-wr [gbb is xnti] psD.t=f,"And stand at the great stair [as Geb, foremost of ] his Ennead."
105,aHa,Arise!
106, aHa.ti Hr rd(.wi)[=k(i) m] wAD-wr ,Arise upon [your] feet [ in] the great green!
107, aHa.t(i) m-xnt itr.ti m-xnt nTr.w {n}<z>( A)b.(i)w ,"Stand before the two chapel rows, before the jackal gods!"
108,aHa mA=k ir.t.n n=k zA=k,"Arise, and see what your son has done for you!"
109,aHa=k r=k m itr.ti Ax.t Hr Sw n(i) niw.t,"You will stand in the two chapel rows of the horizon, over Shu, for the city (or: Nut)."
110,aHa=k xnti sn.wt mnw is,May you arise before the chapels as Min.
111,aHa.t(i) xnti itr.ti,Stand before the two chapel rows!
112,aHa,Arise!
113,aHa.ti idn=sn ir(i)t=k,"Arise, that they may replace what is against you!"
114,aHa xnz=k [q]b[Hw(?)],Arise and traverse the [firmament(?)]!
115,aHa aHa (n) nHH,Arise! Arise for eternity!
116,1183 aHa[=k m inp Hr(i)] mniw,"And arise [as Anubis, master of the] herdsman’s tent."
117,aHa i.[dr] Tw Hr gs=k pw iAb(.i),Arise! Remove yourself from upon your left side.
118, aHa.ti xnti Ax.w mr aHa Hr xnti anx.w ,"Stand before the Akhs, just as Horus foremost of the living stands!"
119,pr=k m sbA dwA,May you ascend as the morning star.
120,wD.n inp xnti zH-nTr hAy=k m sbA m nTr dwA,"Anubis, foremost of the god’s booth, has commanded that you descend as a star, as the morning god."
121, pr=k ir p.t m sbA m nTr dwA ,"May you ascend to the sky as a star, as the morning god."
122, pr=k nn m sbA m nTr dwA ,"May you ascend here as a star, as the morning god."
123, pri=f r=f Sw=f r=f ir p.t m sbA aA Hr-ib iAb ,"Thus let him ascend, thus let him rise up to the sky, as the great star in the middle of the east."
124, pr.n W. imit(i) mn.ti psD.t ,Unas has ascended even from between the thighs of the Ennead.
125,pr W. Hr mn.ti As.t Hfd W. pn Hr mn.ti nb.t-Hw.t,Unas will ascend upon the thighs of Isis: Unas will climb up upon the thighs of Nephthys.
126,pr Ne. Hr mn.ti As.t Hfd.w Ne. Hr mn.ti nb.t-Hw.t,Neferkare will ascend upon the thighs of Isis: Neferkare will climb up upon the thighs of Nephthys.
127, pr=f imit(w) mn.ti psD.ti ,He ascending from between the thighs of the two Enneads.
128, pr.n Nt. imit(w) mn.ti psD.t[i ] ,Neith has ascended right from between the thighs of the two Enneads.
129,pr,Ascend!
130,pr=k,May you ascend.
131, pr=k im=sn Hr is zAb is Hr(i)-gs=f zn ir.w=f ir xftiw[=f ] ,"May you go out through them, as Horus, and the jackal beside him, whose form passes by [his] opponents."
132,pr=k n ra,And ascend to Re.
133,pr=k r=k xr mw.t=k nw.t,May you ascend to your mother Nut.
134,pr r=k ir p.t m Hr Hr(i) SdSd p.t,Ascend to the sky as Horus upon the Shedshed of the sky!
135,pr=k m gs iAb.ti n(i) p.t,May you ascend in the eastern side of the sky.
136,pr=k r=k ir p.t,May you ascend to the sky.
137, pr=k m Hr dA.t(i) xnti i.xm.w-sk ,"May you go out as netherworld Horus, the one before the imperishable stars."
138, pr=k ir p.t m sbA m nTr dwA ,"May you ascend to the sky as a star, as the morning god."
139,pr=k,May you ascend.
140,pr=k,May you go out.
141,pr=k r=k,May you ascend.
142,pr=k r=k ir p.t,May you ascend to the sky.
143,pri=k r=k ir p.t i.wn.ti n=k aA.wi p.t,And may you ascend to the sky as the doors of the sky are opened for you.
144,pr=k r=k W. ir p.t,"May you ascend, O Unas, to the sky."
145,pr r=k ir p.t m bik.w,Ascend to the sky as (do) falcons!
146,pr=f im r p.t,That he ascend thereby to the sky.
147,pry r=f W. r p.t xr=k,"Thus let Unas ascend to the sky, to you."
148,pr.t r=f W. r p.t,That Unas ascends thus to the sky.
149,pr W. Hr=s r p.t,That Unas ascend upon it to the sky.
150, pr T. ir p.t Hr SdSd imi wp.t ,Let Teti ascend to the sky upon the Shedshed which is in the horns.
151, pr T. ir p.t Hr SdSd imi wp.t ,Let Teti ascend to the sky upon the Shedshed which is in the horns.
152, pr=f r=f ir p.t m-m sn.w=f nTr.w ,Him ascending thus to the sky among his brothers the gods.
153,pr.n{=i} P. r p.t,{I} Pepi has ascended to the sky.
154,pr r=k ir p.t m bik.w,Ascend to the sky as (do) falcons!
155, pr P. pn ir p.t n anx wAs ,"That Pepi might ascend to the sky, for life and dominion."
156, pr M.n Hr=sn(i) xr ra r Ax.t ,"That Merenre ascend upon them to Re, to the horizon."
157,pr=f r=f r p.t m-m sbA.w m-m i.xm.w-sk,"When he thus ascends to the sky to be among the stars, among the imperishable stars."
158,pr=f Hr=s ir p.t,That he ascend upon it to the sky.
159,pr.t nTr pn Ne. ir p.t,The ascending of this god Neferkare to the sky.
160,P. pw wr pr ir p.t xprr pr ir ///,"Pepi is a great one who ascends to the sky, Kheprer who ascends to the ///."
161, swt pr=f ir Hw.t-Hr ir(i)t p.t ,He will ascend to Hathor who is in the sky.
162,prr=sn(i) r [ p.t m nr.wt pr=i Hr] tpiw-DnH=sn(i),"When they ascend to [the sky as vultures, then I will ascend upon] their wingtips."
163,pr=f r=f ir p.t,That he may thus ascend to the sky.
164, ir p.t ir p.t m-ab nTr.w pr.tiw ,To the sky! To the sky among the gods of the ascent!
165,pr P. ir p.t,As Pepi ascends to the sky.
166,pr r=f {i} P. ir p.t m-m nTr.w imiw p.t,Let Pepi ascend to the sky among the gods who are in the sky.
167,pr P. pn ir p.t,Let Pepi ascend to the sky.
168,pr=f r=f Swy=f r=f ir p.t,Thus let him ascend; thus let him rise to the sky.
169,pr.n M.n ir p.t m mnT,Merenre has ascended to the sky as Montu.
170,pry Ne. ir p.t,Let Neferkare ascend to the sky.
171,prr nTr pn ir p.t,That this god ascends to the sky.
172,pry=f r=f Swy=f r=f ir p.t,Let him thus ascend; let him thus rise to the sky.
173,pr Nt. Hr=s r p.t,That Neith ascend upon it to the sky.
174,Nt. pw wsir pr m SsA.t,"Osiris is Neith, the one who ascends from the night sky."
175,i.n Ne. pr=f ir p.t,"Neferkare has come, even that he ascend to the sky."
176,prr Ne. ir p.t,Neferkare ascends to the sky.
177, xsf=k w {xsf w} aA.wi=s Dr pr.t kA n(i) Nt. r p.t ,And do not close its doors until the Ka of Neith ascends to the sky.
178,pr=f ir p.t,That he may ascend to the sky.
179,pr r=f P. pn ir p.t m aHa.w Hr dA.ti,And thus Pepi will ascend to the sky in the station of netherworld Horus.
180, pry P. [ pn r p.t] ,That Pepi may ascend [to the sky].
181, dbH=k pr=k r p.t prr=k ,When you ask to ascend to the sky of your ascending.
182,pr=k r=k xr mw.t=k nw.t,May you ascend to your mother Nut.
183,pr r=k ir p.t m Hr Hr(i) SdSd p.t,Ascend to the sky as Horus upon the Shedshed of the sky!
184,pr=k r=k ir p.t,May you ascend to the sky.
185,Sd.n=f SAk=f ir pr=f r=f ir p.t,He has removed its complaint even that he thus ascend to the sky.
186,dbH=f pr=f ir p.t,As he asks to ascend to the sky.
187, pr=k ir p.t m sbA m nTr dwA ,"May you ascend to the sky as a star, as the morning god."
188,pr=k r=k ir p.t,May you ascend to the sky.
189,pri=k r=k ir p.t i.wn.ti n=k aA.wi p.t,And may you ascend to the sky as the
190,n(i) smnx Tb.wt n(i) DA.t rd.w,"Of making the sandals excellent, of crossing the (great) stair."
191,aHa=k r=k ir rd-wr [gbb is xnti] psD.t=f,"And stand at the great stair [as Geb, foremost of ] his Ennead!"
192,Dsw Tw smn.t(i)[t nb.t-Hw.t is xa.t(i)] Hr rd-wr,"The mourning goddess calling out to you [as Nephthys, you being appeared] upon the great stair."
193,[aHa=k ir] rd-wr,[May you stand at] the great stair.
194,n(i) smnx Tbw.wt n(i) DA.t rd-wr,"Of embellishing sandals, of crossing the great stair."
195,wab[.n Tw] sn.t=k qbH.t Hr rd-wr m rA-S,"Your sister Qebehut [has] purified [you], even upon the great stair, even at the entrance to the water course."
196,[nis Tw smn.]t(i)t As.t is Dsw n=k mn(i).t nb.t-Hw.t is xa[.t(i)] Hr rd-wr,"[The mourning goddess summoning you] as Isis, the mooring post calling out to you as Nephthys, [you] being appeared upon the great stair."
197,Sm=k ir rd-wr,May you go to the great stair.
198,Di=s wxA.t(i) s.t n P. pn ir rd-wr Xr qbH,That she cause that a place be cleared for Pepi at the great stair under the firmament.
199,rA=i ik tk pi,"My utterance, it is that which Ik-attacks and Tek-attacks."
200,ik r-r W. an.t=f tn ir=k iAb(.i)t,"Unas will indeed thrust this talon of his against you, the left."
201, ik(=i) r-r m nn ik(=i) r-r m nn ,I will indeed attack with this: I will indeed attack with this.
202,qA=k Hna i[t=k tm],That you be on high with [your father Atum].
203,qA nb mAa.t r tpi(t) rnp.t nb rnp.t,"The lord of Ma’at is on high at the first of the year, the lord of years (sc. Atum)."
204, qAi=k m rn=k pw n(i) qA ,"May you be on high, in this your name of ‘height.’"
205,qA.n=k m qAA,You have come to be on high as the height.
